Time,Step,Training loss,Validation loss,Full Validation loss
21:13:25,1630,0.4909,-,-
21:13:23,1629,0.4895,-,-
21:13:21,1628,4.4271,-,-
21:13:21,1627,0.2538,-,-
21:13:19,1626,0.5588,-,-
21:13:17,1625,0.4707,-,-
21:13:15,1624,0.3518,-,-
21:13:15,1623,0.6033,-,-
21:13:13,1622,0.3841,-,-
21:13:11,1621,0.2995,-,-
21:13:09,1620,0.5748,-,-
21:13:07,1619,0.2314,-,-
21:13:07,1618,0.1176,-,-
21:13:05,1617,0.4523,-,-
21:13:03,1616,0.1664,-,-
21:13:01,1615,0.2937,-,-
21:13:01,1614,0.4528,-,-
21:12:59,1613,0.2623,-,-
21:12:57,1612,0.5379,-,-
21:12:55,1611,0.2292,-,-
21:12:55,1610,0.2537,-,-
21:12:53,1609,0.2804,-,-
21:12:51,1608,0.2286,-,-
21:12:49,1607,0.4222,-,-
21:12:49,1606,0.3939,-,-
21:12:47,1605,0.3241,-,-
21:12:45,1604,0.2116,-,-
21:12:43,1603,0.6222,-,-
21:12:41,1602,0.4478,-,-
21:12:41,1601,0.3589,-,-
21:12:39,1600,0.5299,0.2833,-
21:12:37,1599,0.2144,-,-
21:12:35,1598,0.2047,-,-
21:12:33,1597,0.3132,-,-
21:12:33,1596,0.3979,-,-
21:12:31,1595,0.3168,-,-
21:12:29,1594,0.3302,-,-
21:12:27,1593,0.3972,-,-
21:12:27,1592,0.4496,-,-
21:12:25,1591,0.1898,-,-
21:12:23,1590,0.4771,-,-
21:12:21,1589,0.3579,-,-
21:12:21,1588,0.1788,-,-
21:12:19,1587,0.3137,-,-
21:12:17,1586,0.2645,-,-
21:12:15,1585,0.1793,-,-
21:12:13,1584,0.4864,-,-
21:12:13,1583,0.2405,-,-
21:12:11,1582,0.1553,-,-
21:12:09,1581,0.323,-,-
21:12:07,1580,0.2163,-,-
21:12:07,1579,0.1861,-,-
21:12:05,1578,0.2906,-,-
21:12:03,1577,0.5019,-,-
21:12:01,1576,0.2487,-,-
21:12:01,1575,0.368,-,-
21:11:59,1574,0.415,-,-
21:11:57,1573,0.2935,-,-
21:11:55,1572,0.3985,-,-
21:11:53,1571,0.364,-,-
21:11:53,1570,0.183,-,-
21:11:51,1569,0.4544,-,-
21:11:49,1568,0.2139,-,-
21:11:47,1567,0.4772,-,-
21:11:47,1566,0.2422,-,-
21:11:45,1565,0.1693,-,-
21:11:42,1564,0.2146,-,-
21:11:40,1563,0.3946,-,-
21:11:40,1562,0.5678,-,-
21:11:38,1561,0.1606,-,-
21:11:36,1560,0.4317,-,-
21:11:34,1559,0.3613,-,-
21:11:34,1558,0.286,-,-
21:11:32,1557,0.5085,-,-
21:11:30,1556,0.3647,-,-
21:11:28,1555,0.2847,-,-
21:11:28,1554,0.3924,-,-
21:11:26,1553,0.4314,-,-
21:11:24,1552,0.4917,-,-
21:11:22,1551,0.2256,-,-
21:11:20,1550,0.326,-,-
21:11:20,1549,0.253,-,-
21:11:18,1548,0.2349,-,-
21:11:16,1547,0.5428,-,-
21:11:14,1546,0.2946,-,-
21:11:14,1545,0.3828,-,-
21:11:12,1544,0.3071,-,-
21:11:10,1543,0.2134,-,-
21:11:08,1542,0.4186,-,-
21:11:08,1541,0.2601,-,-
21:11:06,1540,0.5476,-,-
21:11:04,1539,0.3064,-,-
21:11:02,1538,0.414,-,-
21:11:02,1537,0.3649,-,-
21:11:00,1536,0.2376,-,-
21:10:58,1535,0.4776,-,-
21:10:56,1534,0.4059,-,-
21:10:54,1533,0.1828,-,-
21:10:54,1532,0.172,-,-
21:10:52,1531,0.2309,-,-
21:10:50,1530,0.2161,-,-
21:10:48,1529,0.532,-,-
21:10:48,1528,0.366,-,-
21:10:46,1527,0.3445,-,-
21:10:44,1526,0.2219,-,-
21:10:42,1525,0.2588,-,-
21:10:42,1524,0.4331,-,-
21:10:40,1523,0.2979,-,-
21:10:38,1522,0.2544,-,-
21:10:36,1521,0.2782,-,-
21:10:34,1520,0.3651,-,-
21:10:34,1519,0.3518,-,-
21:10:32,1518,0.2858,-,-
21:10:30,1517,0.3886,-,-
21:10:28,1516,0.2131,-,-
21:10:28,1515,0.4031,-,-
21:10:26,1514,0.3079,-,-
21:10:24,1513,0.2007,-,-
21:10:22,1512,0.2412,-,-
21:10:22,1511,0.3234,-,-
21:10:20,1510,0.2794,-,-
21:10:18,1509,0.5962,-,-
21:10:16,1508,0.1905,-,-
21:10:14,1507,0.5759,-,-
21:10:14,1506,0.3539,-,-
